,Unnamed: 0,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,location_err,AF_time,Hamming_dis_arr,per_%,title,mean,variance,in AF?,multiplier,AF_time_real,AF_beat,10_before_fib,3_before_fib,Fib_beat,5_after_fib,Periodicity,amp,off,Ham_dis_80
130,130,100,100,10000,0.25,25,0.55,10,0,"[4, 0.4, 0.8]",False,full,False,714632633,1917,1917,1917,True,"(133, 333)","[[5.10881590977792, 4.859412401606689, 5.114478931117236, 4.942016735277685, 5.521685520654993, 6.018264882432639, 6.259179305739319, 7.291685312655449, 7.298777424934547, 7.542089689410813, 8.381333619821683, 7.8921298953903625, 9.246621004453464, 10.607697950731511, 12.103589343661655, 12.527295779013272]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,714632633",0.7851733333333334,0.05301928106666667,True,1,233,1.0,6.212521793948088,7.740733578055682,8.381333619821683,10.475466794650053,4.0,0.4,0.8,16.201158232974816
131,131,100,100,10000,0.25,25,0.55,10,0,"[4, 0.4, 0.8]",False,full,False,496977247,4667,4667,4667,True,"(185, 385)","[[15.214007342494472, 14.801157300216174, 13.862043500148165, 13.880379982320665, 13.300417245376137, 13.654925457405906, 13.57595122313362, 13.880969659260794, 14.211189068365886, 13.34424840585791, 12.899127877496214, 11.139114018229238, 12.583895675813071, 14.078561089576631, 15.470902921591307, 14.332842695949589]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,496977247",0.7859966666666667,0.05380490665555555,True,1,285,1.0,13.874947005643266,13.484855117240002,12.899127877496214,13.521063280231967,4.0,0.4,0.8,19.87668167040978
132,132,100,100,10000,0.25,25,0.55,10,0,"[5, 0.4, 0.8]",False,full,False,692277335,1292,1292,1292,True,"(1809, 2009)","[[16.446884203398525, 17.635972412537388, 16.99179666327707, 17.00558448998898, 16.050740251660127, 13.054118124178286, 13.279366858341394, 11.516882692661312, 12.419640685119466, 10.910082094299193, 11.027687432544056, 10.482790129010924, 10.853334593334521, 10.482514816737291, 10.456895651514683, 10.767785542044011]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,692277335",0.7853600000000001,0.054000781511111116,True,1,1909,9.0,14.212614173455073,11.452470070654238,11.027687432544056,10.608664146528287,5.0,0.4,0.8,10.918601910252617
133,133,100,100,10000,0.25,25,0.55,10,0,"[5, 0.4, 0.8]",False,full,False,4016169523,1335,1335,1335,True,"(5352, 5552)","[[11.442901729893515, 11.081967334368027, 11.052036011522945, 10.512530517070589, 10.473497454822349, 9.643650760992955, 9.371351141762975, 8.99936866472512, 10.607661000904601, 11.256370745179868, 9.793130521207475, 10.911472905334799, 13.190454701718787, 16.045931263481084, 14.573949361789344, 15.26843148460247]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,4016169523",0.7842566666666667,0.053132925233333336,True,1,5452,27.0,10.38495144385913,10.552387422430648,9.793130521207475,13.998047943385297,5.0,0.4,0.8,12.069797230558471
134,134,100,100,10000,0.25,25,0.55,10,0,"[5, 0.4, 0.8]",False,full,False,2221318301,7054,7055,7055,True,"(1, 170)","[[18.660877937134025, 16.774236197216254, 13.838352503098047, 12.771939906670084, 12.538805743950899, 12.709569751384432, 12.651530519656344, 12.402063143395372, 11.924012127526176, 12.28569095522067, 13.084295746455858, 12.97981547465516, 13.26827263902613, 13.505639520236526, 13.083712940285624, 12.512432841368463]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2221318301",0.7831733333333335,0.05420641884444445,True,1,70,0.0,13.603761321064377,12.431332943067568,13.084295746455858,13.069974683114381,5.0,0.4,0.8,13.084295746455858
135,135,100,100,10000,0.25,25,0.55,10,0,"[6, 0.4, 0.8]",False,full,False,2708908626,4161,4161,4161,True,"(178, 378)","[[16.58881326346752, 14.453895472834393, 13.404041063488398, 13.725399736916383, 14.011539256028666, 13.837959764169813, 11.363203590243964, 10.793007504352573, 10.490859809133077, 10.588909292273685, 10.756453816258345, 11.138266274863252, 11.299197980387811, 13.261251654898397, 12.669103079520118, 15.021835958216144]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2708908626",0.7825200000000001,0.05327956071111112,True,1,278,1.0,12.728552960833348,10.612074305888369,10.756453816258345,12.677930989577145,6.0,0.4,0.8,13.531502595794748
136,136,100,100,10000,0.25,25,0.55,10,0,"[6, 0.4, 0.8]",False,full,False,826598768,5262,5262,5262,True,"(1, 177)","[[13.101426197977556, 14.394647698118256, 14.946252914709968, 14.325800900074363, 15.483784942766615, 12.11122694782895, 12.084840393937306, 11.333866142633342, 12.059719818688292, 9.677324134782225, 9.76985158536198, 10.48272388265569, 10.28099193564137, 11.402957468323304, 10.721473779289859, 11.926743990805798]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,826598768",0.7834533333333333,0.05306487448888888,True,1,77,0.0,12.66261287971626,10.502298512944167,9.76985158536198,10.962978211343204,6.0,0.4,0.8,9.76985158536198
137,137,100,100,10000,0.25,25,0.55,10,0,"[6, 0.4, 0.8]",False,full,False,2076619347,5981,5981,5981,True,"(1, 198)","[[14.853655037099964, 11.793395765150485, 11.85854122563142, 11.822571457863498, 11.599639237268658, 11.552296548979147, 11.169544347475977, 11.70066185328326, 12.376401927673676, 12.919351320953265, 14.042583413893976, 14.786576924456085, 15.15607210787579, 15.097054435603619, 15.23868075997223, 14.932024194149081]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2076619347",0.7842966666666666,0.05243751643333334,True,1,98,0.0,12.335331103206665,13.112778887506972,14.042583413893976,15.042081684411361,6.0,0.4,0.8,14.042583413893976
138,138,100,100,10000,0.25,25,0.55,10,0,"[7, 0.4, 0.8]",False,full,False,1266816355,882,882,882,True,"(4601, 4801)","[[17.66601922602027, 17.280262632133635, 15.244494345275516, 14.823878319152941, 15.725523177558223, 14.264977509037065, 14.686092696197946, 13.993113624767814, 14.046439731682991, 15.49530237215123, 15.396608573174666, 16.048381905904183, 16.535343432102717, 16.327515608856324, 18.647988490651606, 19.152741318150778]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,1266816355",0.78557,0.051712552877777776,True,1,4701,23.0,15.32933747337748,14.979450225669629,15.396608573174666,17.34239415113312,7.0,0.4,0.8,15.334202154939703
139,139,100,100,10000,0.25,25,0.55,10,0,"[7, 0.4, 0.8]",False,full,False,2409634150,4810,4810,4810,True,"(4122, 4322)","[[2.5, 2.27776980709589, 3.2606545557400177, 3.8402112210426944, 4.734436990500695, 4.011168618272052, 3.757429915499752, 4.157990967870047, 4.06780761879534, 5.268106033146124, 4.649234841926638, 6.4941343139640155, 5.454042110441187, 6.741249472052228, 6.370080225391362, 10.097375364287087]]",1.0,"100,100,10000,0.25,25,Normal Modes,10,2409634150",0.7812100000000001,0.053057491455555564,True,1,4222,21.0,3.8658918699899316,4.6617161646227006,4.649234841926638,7.031376297227176,7.0,0.4,0.8,13.912243853949846
