,width,height,runtime,threshold,sigmoid_strength,coupling,refractory_period,set_seed,constant,gradient,grad_start,grad_end,normal_modes,normal_modes_config,graph,FullStateSave,stats,seed,location_2,location_3,location_4,AF_time,per_%,title,in AF?
10,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,2750438619,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,2750438619",False
11,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,736079951,3304,3304,3304,"(1191, 1251)",1.0,"140,80,2800,0.25,25,Normal Modes,10,736079951",True
12,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,638501839,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,638501839",False
13,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,468101115,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,468101115",False
14,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,3553307662,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,3553307662",False
15,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,966557728,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,966557728",False
16,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,4214594660,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,4214594660",False
17,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,3851083282,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,3851083282",False
18,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,351326995,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,351326995",False
19,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,331167769,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,331167769",False
20,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,108621331,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,108621331",False
21,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,1931801223,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,1931801223",False
22,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,2825588411,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,2825588411",False
23,140,80,2800,0.25,25,0.55,10,0,False,False,0.3,0.4,True,"[[1, 5, 10, 20], [1, 3, 5], 0.2, 0.75]",False,False,False,433073105,False,False,False,False,1.0,"140,80,2800,0.25,25,Normal Modes,10,433073105",False
