,settings,in_AF,coupling
197,"[50, 50, 10000, 0.3, 25]",True,0.8381081081081081
198,"[50, 50, 10000, 0.3, 25]",False,0.837972972972973
199,"[50, 50, 10000, 0.3, 25]",False,0.8378378378378378
200,"[50, 50, 10000, 0.3, 25]",False,0.8377027027027026
201,"[50, 50, 10000, 0.3, 25]",False,0.8375675675675676
202,"[50, 50, 10000, 0.3, 25]",True,0.8374324324324325
203,"[50, 50, 10000, 0.3, 25]",False,0.8372972972972973
204,"[50, 50, 10000, 0.3, 25]",False,0.8371621621621621
205,"[50, 50, 10000, 0.3, 25]",False,0.837027027027027
206,"[50, 50, 10000, 0.3, 25]",False,0.836891891891892
207,"[50, 50, 10000, 0.3, 25]",True,0.8367567567567568
208,"[50, 50, 10000, 0.3, 25]",True,0.8366216216216216
209,"[50, 50, 10000, 0.3, 25]",False,0.8364864864864865
210,"[50, 50, 10000, 0.3, 25]",False,0.8363513513513514
211,"[50, 50, 10000, 0.3, 25]",True,0.8362162162162162
212,"[50, 50, 10000, 0.3, 25]",False,0.836081081081081
213,"[50, 50, 10000, 0.3, 25]",False,0.835945945945946
214,"[50, 50, 10000, 0.3, 25]",False,0.8358108108108109
215,"[50, 50, 10000, 0.3, 25]",True,0.8356756756756757
216,"[50, 50, 10000, 0.3, 25]",False,0.8355405405405405
217,"[50, 50, 10000, 0.3, 25]",True,0.8354054054054054
218,"[50, 50, 10000, 0.3, 25]",False,0.8352702702702702
219,"[50, 50, 10000, 0.3, 25]",False,0.8351351351351352
220,"[50, 50, 10000, 0.3, 25]",True,0.835
221,"[50, 50, 10000, 0.3, 25]",True,0.8348648648648649
222,"[50, 50, 10000, 0.3, 25]",True,0.8347297297297297
223,"[50, 50, 10000, 0.3, 25]",False,0.8345945945945946
224,"[50, 50, 10000, 0.3, 25]",False,0.8344594594594594
225,"[50, 50, 10000, 0.3, 25]",False,0.8343243243243244
226,"[50, 50, 10000, 0.3, 25]",False,0.8341891891891892
227,"[50, 50, 10000, 0.3, 25]",True,0.8340540540540541
228,"[50, 50, 10000, 0.3, 25]",True,0.8339189189189189
229,"[50, 50, 10000, 0.3, 25]",True,0.8337837837837838
230,"[50, 50, 10000, 0.3, 25]",True,0.8336486486486486
231,"[50, 50, 10000, 0.3, 25]",False,0.8335135135135135
232,"[50, 50, 10000, 0.3, 25]",True,0.8333783783783784
233,"[50, 50, 10000, 0.3, 25]",False,0.8332432432432433
234,"[50, 50, 10000, 0.3, 25]",True,0.8331081081081081
235,"[50, 50, 10000, 0.3, 25]",False,0.832972972972973
236,"[50, 50, 10000, 0.3, 25]",True,0.8328378378378378
237,"[50, 50, 10000, 0.3, 25]",False,0.8327027027027027
238,"[50, 50, 10000, 0.3, 25]",False,0.8325675675675676
239,"[50, 50, 10000, 0.3, 25]",False,0.8324324324324324
240,"[50, 50, 10000, 0.3, 25]",False,0.8322972972972973
241,"[50, 50, 10000, 0.3, 25]",True,0.8321621621621622
242,"[50, 50, 10000, 0.3, 25]",False,0.832027027027027
243,"[50, 50, 10000, 0.3, 25]",False,0.8318918918918918
244,"[50, 50, 10000, 0.3, 25]",False,0.8317567567567568
245,"[50, 50, 10000, 0.3, 25]",False,0.8316216216216217
246,"[50, 50, 10000, 0.3, 25]",True,0.8314864864864865
247,"[50, 50, 10000, 0.3, 25]",False,0.8313513513513513
248,"[50, 50, 10000, 0.3, 25]",True,0.8312162162162162
249,"[50, 50, 10000, 0.3, 25]",False,0.8310810810810811
250,"[50, 50, 10000, 0.3, 25]",False,0.830945945945946
251,"[50, 50, 10000, 0.3, 25]",False,0.8308108108108108
252,"[50, 50, 10000, 0.3, 25]",False,0.8306756756756757
253,"[50, 50, 10000, 0.3, 25]",False,0.8305405405405406
254,"[50, 50, 10000, 0.3, 25]",False,0.8304054054054054
255,"[50, 50, 10000, 0.3, 25]",False,0.8302702702702702
256,"[50, 50, 10000, 0.3, 25]",True,0.8301351351351351
257,"[50, 50, 10000, 0.3, 25]",False,0.83
258,"[50, 50, 10000, 0.3, 25]",False,0.8298648648648649
259,"[50, 50, 10000, 0.3, 25]",False,0.8297297297297297
260,"[50, 50, 10000, 0.3, 25]",True,0.8295945945945946
261,"[50, 50, 10000, 0.3, 25]",False,0.8294594594594594
262,"[50, 50, 10000, 0.3, 25]",False,0.8293243243243243
263,"[50, 50, 10000, 0.3, 25]",False,0.8291891891891892
264,"[50, 50, 10000, 0.3, 25]",True,0.8290540540540541
265,"[50, 50, 10000, 0.3, 25]",False,0.8289189189189189
266,"[50, 50, 10000, 0.3, 25]",False,0.8287837837837838
267,"[50, 50, 10000, 0.3, 25]",False,0.8286486486486486
268,"[50, 50, 10000, 0.3, 25]",True,0.8285135135135135
269,"[50, 50, 10000, 0.3, 25]",True,0.8283783783783784
270,"[50, 50, 10000, 0.3, 25]",False,0.8282432432432433
271,"[50, 50, 10000, 0.3, 25]",False,0.8281081081081081
272,"[50, 50, 10000, 0.3, 25]",False,0.827972972972973
273,"[50, 50, 10000, 0.3, 25]",False,0.8278378378378378
274,"[50, 50, 10000, 0.3, 25]",True,0.8277027027027027
275,"[50, 50, 10000, 0.3, 25]",False,0.8275675675675676
276,"[50, 50, 10000, 0.3, 25]",True,0.8274324324324325
277,"[50, 50, 10000, 0.3, 25]",False,0.8272972972972973
278,"[50, 50, 10000, 0.3, 25]",False,0.8271621621621621
279,"[50, 50, 10000, 0.3, 25]",True,0.827027027027027
280,"[50, 50, 10000, 0.3, 25]",False,0.8268918918918919
281,"[50, 50, 10000, 0.3, 25]",True,0.8267567567567567
282,"[50, 50, 10000, 0.3, 25]",True,0.8266216216216216
283,"[50, 50, 10000, 0.3, 25]",False,0.8264864864864865
284,"[50, 50, 10000, 0.3, 25]",False,0.8263513513513514
285,"[50, 50, 10000, 0.3, 25]",False,0.8262162162162162
