,settings,in_AF,coupling,%_time_AF
241,"[50, 50, 1000, 0.4, 25]",False,0.9672972972972973,0.0
242,"[50, 50, 1000, 0.4, 25]",False,0.9671621621621622,0.0
243,"[50, 50, 1000, 0.4, 25]",False,0.967027027027027,0.0
244,"[50, 50, 1000, 0.4, 25]",False,0.9668918918918918,0.0
245,"[50, 50, 1000, 0.4, 25]",False,0.9667567567567568,0.0
246,"[50, 50, 1000, 0.4, 25]",False,0.9666216216216216,0.0
247,"[50, 50, 1000, 0.4, 25]",False,0.9664864864864865,0.0
248,"[50, 50, 1000, 0.4, 25]",False,0.9663513513513513,0.0
249,"[50, 50, 1000, 0.4, 25]",False,0.9662162162162162,0.0
250,"[50, 50, 1000, 0.4, 25]",False,0.966081081081081,0.0
251,"[50, 50, 1000, 0.4, 25]",False,0.965945945945946,0.0
252,"[50, 50, 1000, 0.4, 25]",False,0.9658108108108108,0.0
253,"[50, 50, 1000, 0.4, 25]",False,0.9656756756756757,0.0
254,"[50, 50, 1000, 0.4, 25]",False,0.9655405405405405,0.0
255,"[50, 50, 1000, 0.4, 25]",False,0.9654054054054054,0.0
256,"[50, 50, 1000, 0.4, 25]",False,0.9652702702702702,0.0
257,"[50, 50, 1000, 0.4, 25]",False,0.9651351351351352,0.0
258,"[50, 50, 1000, 0.4, 25]",False,0.965,0.0
259,"[50, 50, 1000, 0.4, 25]",False,0.9648648648648649,0.0
260,"[50, 50, 1000, 0.4, 25]",False,0.9647297297297297,0.0
261,"[50, 50, 1000, 0.4, 25]",False,0.9645945945945946,0.0
262,"[50, 50, 1000, 0.4, 25]",False,0.9644594594594594,0.0
263,"[50, 50, 1000, 0.4, 25]",False,0.9643243243243244,0.0
264,"[50, 50, 1000, 0.4, 25]",False,0.9641891891891892,0.0
265,"[50, 50, 1000, 0.4, 25]",False,0.9640540540540541,0.0
266,"[50, 50, 1000, 0.4, 25]",False,0.9639189189189189,0.0
267,"[50, 50, 1000, 0.4, 25]",False,0.9637837837837838,0.0
268,"[50, 50, 1000, 0.4, 25]",False,0.9636486486486486,0.0
269,"[50, 50, 1000, 0.4, 25]",False,0.9635135135135136,0.0
270,"[50, 50, 1000, 0.4, 25]",False,0.9633783783783784,0.0
271,"[50, 50, 1000, 0.4, 25]",False,0.9632432432432433,0.0
272,"[50, 50, 1000, 0.4, 25]",False,0.9631081081081081,0.0
273,"[50, 50, 1000, 0.4, 25]",False,0.962972972972973,0.0
274,"[50, 50, 1000, 0.4, 25]",False,0.9628378378378378,0.0
275,"[50, 50, 1000, 0.4, 25]",False,0.9627027027027028,0.0
276,"[50, 50, 1000, 0.4, 25]",False,0.9625675675675676,0.0
277,"[50, 50, 1000, 0.4, 25]",False,0.9624324324324325,0.0
278,"[50, 50, 1000, 0.4, 25]",False,0.9622972972972973,0.0
279,"[50, 50, 1000, 0.4, 25]",False,0.9621621621621621,0.0
280,"[50, 50, 1000, 0.4, 25]",False,0.962027027027027,0.0
281,"[50, 50, 1000, 0.4, 25]",False,0.961891891891892,0.0
282,"[50, 50, 1000, 0.4, 25]",False,0.9617567567567568,0.0
283,"[50, 50, 1000, 0.4, 25]",False,0.9616216216216216,0.0
284,"[50, 50, 1000, 0.4, 25]",False,0.9614864864864865,0.0
285,"[50, 50, 1000, 0.4, 25]",False,0.9613513513513513,0.0
286,"[50, 50, 1000, 0.4, 25]",False,0.9612162162162162,0.0
287,"[50, 50, 1000, 0.4, 25]",False,0.961081081081081,0.0
288,"[50, 50, 1000, 0.4, 25]",False,0.960945945945946,0.0
289,"[50, 50, 1000, 0.4, 25]",False,0.9608108108108108,0.0
290,"[50, 50, 1000, 0.4, 25]",False,0.9606756756756757,0.0
291,"[50, 50, 1000, 0.4, 25]",False,0.9605405405405405,0.0
292,"[50, 50, 1000, 0.4, 25]",False,0.9604054054054054,0.0
293,"[50, 50, 1000, 0.4, 25]",False,0.9602702702702702,0.0
294,"[50, 50, 1000, 0.4, 25]",False,0.9601351351351352,0.0
295,"[50, 50, 1000, 0.4, 25]",False,0.96,0.0
296,"[50, 50, 1000, 0.4, 25]",False,0.9598648648648649,0.0
297,"[50, 50, 1000, 0.4, 25]",False,0.9597297297297297,0.0
298,"[50, 50, 1000, 0.4, 25]",False,0.9595945945945946,0.0
299,"[50, 50, 1000, 0.4, 25]",False,0.9594594594594594,0.0
300,"[50, 50, 1000, 0.4, 25]",False,0.9593243243243244,0.0
301,"[50, 50, 1000, 0.4, 25]",False,0.9591891891891892,0.0
302,"[50, 50, 1000, 0.4, 25]",False,0.9590540540540541,0.0
303,"[50, 50, 1000, 0.4, 25]",False,0.9589189189189189,0.0
304,"[50, 50, 1000, 0.4, 25]",False,0.9587837837837838,0.0
305,"[50, 50, 1000, 0.4, 25]",False,0.9586486486486486,0.0
306,"[50, 50, 1000, 0.4, 25]",False,0.9585135135135135,0.0
307,"[50, 50, 1000, 0.4, 25]",False,0.9583783783783784,0.0
308,"[50, 50, 1000, 0.4, 25]",False,0.9582432432432433,0.0
309,"[50, 50, 1000, 0.4, 25]",False,0.9581081081081081,0.0
310,"[50, 50, 1000, 0.4, 25]",False,0.957972972972973,0.0
311,"[50, 50, 1000, 0.4, 25]",False,0.9578378378378378,0.0
312,"[50, 50, 1000, 0.4, 25]",False,0.9577027027027027,0.0
313,"[50, 50, 1000, 0.4, 25]",False,0.9575675675675676,0.0
314,"[50, 50, 1000, 0.4, 25]",False,0.9574324324324325,0.0
315,"[50, 50, 1000, 0.4, 25]",False,0.9572972972972973,0.0
316,"[50, 50, 1000, 0.4, 25]",False,0.9571621621621622,0.0
317,"[50, 50, 1000, 0.4, 25]",False,0.957027027027027,0.0
318,"[50, 50, 1000, 0.4, 25]",False,0.9568918918918919,0.0
319,"[50, 50, 1000, 0.4, 25]",False,0.9567567567567568,0.0
320,"[50, 50, 1000, 0.4, 25]",False,0.9566216216216217,0.0
321,"[50, 50, 1000, 0.4, 25]",False,0.9564864864864865,0.0
322,"[50, 50, 1000, 0.4, 25]",False,0.9563513513513513,0.0
323,"[50, 50, 1000, 0.4, 25]",False,0.9562162162162162,0.0
324,"[50, 50, 1000, 0.4, 25]",False,0.956081081081081,0.0
325,"[50, 50, 1000, 0.4, 25]",False,0.955945945945946,0.0
326,"[50, 50, 1000, 0.4, 25]",False,0.9558108108108108,0.0
327,"[50, 50, 1000, 0.4, 25]",False,0.9556756756756757,0.0
328,"[50, 50, 1000, 0.4, 25]",False,0.9555405405405405,0.0
329,"[50, 50, 1000, 0.4, 25]",False,0.9554054054054054,0.0
330,"[50, 50, 1000, 0.4, 25]",False,0.9552702702702702,0.0
331,"[50, 50, 1000, 0.4, 25]",False,0.9551351351351351,0.0
332,"[50, 50, 1000, 0.4, 25]",False,0.955,0.0
